Unnamed: 0.1,Unnamed: 0,Spanish,English
0,0,de,of
1,1,que,that
2,2,no,no
3,3,a,to
4,4,y,and
5,5,ser,to be
6,6,en,in
7,7,por,for
8,8,qué,what
9,9,con,with
10,10,para,for
11,11,estar,to be
12,12,mi,my
13,13,pero,but
14,14,sí,yes
15,15,si,if
16,16,bien,well
17,17,ese,that
18,18,su,his/her
19,19,yo,I
20,20,como,like
21,21,aquí,here
22,22,tu,your
23,23,más,more
24,24,este,this
25,25,todo,all
26,26,ya,already
27,27,ahora,now
28,28,muy,very
29,29,haber,to have
30,30,así,like that
31,31,ir,to go
32,32,algo,something
33,33,bueno,good
34,34,tener,to have
35,35,él,he
36,36,cuando,when
37,37,saber,to know
38,38,tú,you (informal)
39,39,nos,us
40,40,nada,nothing
41,41,cómo,how
42,42,o,or
43,43,poder,to be able
44,44,ella,she
45,45,querer,to want
46,46,hacer,to do
47,47,gracia,thanks
48,48,vez,time
49,49,solo,only
50,50,porque,because
51,51,creer,to believe
52,52,usted,you (formal)
53,54,hola,hello
54,55,verdad,TRUE
55,56,casa,home
56,57,tan,so
57,58,quién,who
58,59,tiempo,time
59,60,dos,two
60,61,nunca,never
61,62,dónde,where
62,63,favor,please
63,64,mucho,a lot
64,65,mí,me
65,66,sentir,to feel
66,67,señor,msiter
67,68,mejor,better
68,69,decir,to say
69,70,también,also
70,71,sobre,about
71,72,dios,god
72,73,sin,without
73,74,ver,to see
74,75,hombre,man
75,76,vida,life
76,77,alguien,someone
77,78,cosa,thing
78,79,siempre,always
79,80,hasta,until
80,81,ahí,there
81,82,año,year
82,83,antes,before
83,84,ni,neither
84,85,poco,a little
85,86,día,day
86,87,uno,one
87,88,noche,night
88,89,otro,another
89,90,acuerdo,agreement
90,91,trabajo,work
91,92,nosotros,we
92,93,parecer,to seem
93,94,gente,people
94,95,padre,father
95,96,mirar,to look
96,97,mismo,same
97,98,nadie,nobody
98,99,hablar,to speak
99,100,ellos,they
100,101,tal,such
101,102,pasar,to happen
102,103,después,after
103,104,desde,from
104,105,dinero,money
105,106,mundo,world
106,107,claro,of course
107,108,momento,moment
108,109,estado,state
109,110,mañana,tomorrow
110,111,madre,mother
111,112,valer,to be worth
112,113,lugar,place
113,114,donde,where
114,115,seguro,sure
115,116,esperar,to wait
116,117,nuevo,new
117,118,hijo,son
118,119,allí,there
119,120,menos,less
120,121,tipo,type
121,122,amigo,friend
122,123,gran,great
123,124,nuestro,our
124,125,mujer,woman
125,126,mamá,mom
126,127,luego,then
127,128,papá,dad
128,129,hoy,today
129,130,tres,three
130,131,necesitar,to need
131,132,oír,to hear
132,133,gustar,to like
133,134,parte,part
134,135,conmigo,with me
135,136,nombre,name
136,137,mal,bad
137,138,deber,should
138,139,realmente,really
139,140,aún,still
140,141,mío,mine
141,142,cada,each
142,143,importar,to matter
143,144,contigo,with you
144,145,razón,reason
145,146,alguno,some
146,147,tanto,so much
147,148,serio,serious
148,149,venir,to come
149,150,idea,idea
150,151,tarde,afternoon
151,152,problema,problem
152,153,hora,hour
153,155,quien,who
154,156,demasiado,too much
155,157,amor,love
156,158,entre,between
157,159,familia,family
158,160,policía,police
159,161,chica,girl
160,162,chico,boy
161,163,cuenta,account
162,164,todavía,still
163,165,salir,to go out
164,166,algún,some
165,167,hermano,brother
166,168,pensar,to think
167,169,cabeza,head
168,170,cariño,darling
169,171,cualquier,any
170,172,forma,form
171,173,mientras,while
172,174,lado,side
173,175,caso,case
174,176,primero,first
175,177,genial,great
176,178,suponer,to suppose
177,179,pues,well
178,180,adiós,goodbye
179,181,persona,person
180,182,señora,mrs.
181,183,volver,to return
182,184,contra,against
183,185,camino,path
184,186,durante,during
185,187,manera,way
186,188,muerto,dead
187,189,rápido,fast
188,190,cuál,which
189,191,ayuda,help
190,192,historia,history
191,193,entender,to understand
192,194,dentro,inside
193,195,casi,almost
194,196,puerta,door
195,197,significar,to mean
196,198,semana,week
197,199,hacia,toward
198,200,quizás,maybe
199,201,junto,together
200,202,niño,kid
201,203,pronto,soon
202,204,tío,uncle
203,205,suerte,luck
204,206,ciudad,city
205,207,siquiera,not even
206,208,feliz,happy
207,209,hija,daughter
208,210,minuto,minute
209,211,cuánto,how much
210,212,os,you all
211,213,muerte,death
212,214,dejar,to let
213,215,realidad,reality
214,216,dar,to give
215,217,importante,important
216,218,corazón,heart
217,219,miedo,fear
218,220,jefe,boss
219,221,agua,water
220,222,justo,just
221,223,esposa,wife
222,224,mano,hand
223,225,ojo,eye
224,226,adelante,ahead
225,227,encontrar,to find
226,228,cinco,five
227,229,ninguno,none
228,230,cara,face
229,231,cuidado,care
230,232,bajo,under
231,233,cerca,near
232,234,viejo,old
233,235,bastante,enough
234,236,fin,end
235,237,tomar,to take
236,238,único,only
237,239,escuchar,to listen
238,240,ningún,none
239,241,suficiente,enough
240,242,punto,point
241,243,cuándo,when
242,244,seguir,to follow
243,245,equipo,team
244,246,grande,large
245,247,llegar,to arrive
246,248,incluso,even
247,249,doctor,doctor
248,250,difícil,difficult
249,251,aunque,although
250,252,coche,car
251,253,clase,class
252,254,cuatro,four
253,255,pequeño,small
254,256,llamar,to call
255,257,allá,over there
256,258,último,last
257,259,arriba,up
258,260,tierra,earth
259,261,guerra,war
260,262,igual,similar
261,263,loco,crazy
262,264,sangre,blood
263,265,vuelta,return
264,266,trabajar,to work
265,267,juego,game
266,268,cuerpo,body
267,269,entrar,to enter
268,270,oportunidad,opportunity
269,271,teléfono,phone
270,272,final,end
271,273,listo,ready
272,274,fiesta,party
273,275,auto,car
274,276,vivir,to live
275,277,posible,possible
276,278,hermana,sister
277,279,número,number
278,280,mes,month
279,281,exactamente,exactly
280,282,culpa,fault
281,283,abajo,down
282,284,escuela,school
283,285,fuerte,strong
284,286,ello,it
285,287,pregunta,question
286,288,atrás,back
287,289,malo,bad
288,290,capitán,captain
289,291,bebé,baby
290,292,segundo,second
291,293,mayor,older
292,294,comida,food
293,295,morir,to die
294,296,conocer,to meet
295,297,fácil,easy
296,298,comer,to eat
297,299,lista,list
298,300,probablemente,probably
299,301,habitación,room
300,302,tratar,to try
301,303,buscar,to search
302,304,tampoco,neither
303,305,amar,to love
304,307,par,pair
305,308,simplemente,simply
306,309,medio,middle
307,310,sentido,sense
308,311,lejos,far
309,312,arma,weapon
310,313,alto,tall
311,314,dólar,dollar
312,315,seis,six
313,316,seguridad,security
314,317,preocupar,to worry
315,318,palabra,word
316,319,quedar,to stay
317,320,oficina,office
318,321,matar,to kill
319,322,cama,bed
320,323,además,besides
321,324,recuerdo,memory
322,325,acerca,about
323,326,luz,light
324,327,correcto,right
325,328,demonio,demon
326,329,dormir,to sleep
327,330,sitio,place
328,331,ayudar,to help
329,332,conseguir,to get
330,333,marido,husband
331,334,paz,peace
332,335,idiota,idiot
333,336,plan,plan
334,337,cuanto,how much
335,338,peor,worse
336,339,pueblo,town
337,340,vivo,alive
338,341,john,John
339,342,bastar,to suffice
340,343,paso,step
341,344,música,music
342,345,anoche,last night
343,346,país,country
344,347,rey,king
345,348,perdón,forgiveness
346,349,faltar,to lack
347,350,diablo,devil
348,351,perder,to lose
349,352,niña,girl
350,353,señorita,miss
351,354,diez,ten
352,355,llevar,to carry
353,356,hospital,hospital
354,357,maldito,damn
355,358,fuego,fire
356,359,poner,to put
357,360,calle,street
358,361,acabar,to finish
359,362,prueba,test
360,363,increíble,incredible
361,364,real,real
362,365,libro,book
363,366,orden,order
364,367,especial,special
365,368,café,coffee
366,369,duro,hard
367,370,empezar,to start
368,371,afuera,outside
369,372,perro,dog
370,373,cielo,sky
371,374,puesto,position
372,375,viaje,trip
373,376,detrás,behind
374,377,cuarto,room
375,378,querido,dear
376,379,libre,free
377,380,cual,which
378,381,sonar,to sound
379,382,jugar,to play
380,383,cambio,change
381,384,película,movie
382,385,millón,million
383,386,llamada,call
384,387,resto,rest
385,388,extraño,strange
386,389,presidente,president
387,390,ropa,clothes
388,391,agente,agent
389,392,información,information
390,393,raro,rare
391,394,general,general
392,395,trato,deal
393,396,usar,to use
394,397,perfecto,perfect
395,398,derecho,right
396,400,ayer,yesterday
397,401,demás,others
398,402,noticia,news
399,403,asesino,killer
400,404,control,control
401,405,odio,hate
402,406,frente,front
403,407,divertido,funny
404,408,recordar,to remember
405,409,amiga,friend
